id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,status,default_profile_image,has_extended_profile,name,Bot,entities-hashtags,entities-url,source_url,geo,coordinates
815745789754417152,815745789754417152,HoustonPokeMap,"Houston, TX","Rare and strong Pokémon in Houston, TX. See more Pokémon at https://t.co/dnWuDbFRkt",https://t.co/dnWuDbFRkt,1519,0,11,2017-01-02 02:25:26,0,False,131300,en,True,,False,False,Houston Poké Alert,0,[],"[{'url': 'https://t.co/ARilKl0iLE', 'expanded_url': 'https://houstonpokemap.com/#29.78167609,-95.31364042', 'display_url': 'houstonpokemap.com/#29.78167609,-…', 'indices': [72, 95]}, {'url': 'https://t.co/ilCDSRB6M9', 'expanded_url': 'https://maps.google.com/maps?q=29.78167609,-95.31364042', 'display_url': 'maps.google.com/maps?q=29.7816…', 'indices': [96, 119]}]",http://HoustonPokeMap.com,None,None
4843621225,4843621225,kernyeahx,"Templeville town, MD, USA","From late 2014 Socium Marketplace will make shopping for fundamental business services more simple, more cost effective and more about you.",None,4,671,0,2016-02-01 07:37:56,58,False,51,en,True,,False,False,Keri Nelson,0,"[{'text': 'DohaLaptops', 'indices': [39, 51]}]","[{'url': 'https://t.co/88RzuvmjJp', 'expanded_url': 'https://twitter.com/JacoKuz/status/856651961499779076', 'display_url': 'twitter.com/JacoKuz/status…', 'indices': [68, 91]}]",http://twitter.com/download/android,None,None
4303727112,4303727112,mattlieberisbot,,"Inspired by the smart, funny folks at @replyall and @gimletmedia • Tweets Monday, Wednesday and Friday • A bot by @ashur",https://t.co/P1e1o0m4KC,1105,0,16,2015-11-20 18:53:22,0,False,803,en,True,,False,False,Matt Lieber Is Bot,0,[],[],http://cabreramade.co/mattlieberisbot/,None,None
3063139353,3063139353,sc_papers,,,None,35,0,8,2015-02-25 20:11:25,0,False,736,en,True,,True,False,single cell papers,0,[],"[{'url': 'https://t.co/WnDkr0wMX9', 'expanded_url': 'https://twitter.com/i/web/status/859368643045359616', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [103, 126]}]",https://dlvrit.com/,None,None
2955142070,2955142070,lucarivera16,"Dublin, United States",Inspiring cooks everywhere since 1956.,None,13,1019,0,2015-01-01 17:44:39,179,False,207,en,False,,False,False,lucarivera16,0,"[{'text': 'TrumpTrain', 'indices': [25, 36]}, {'text': 'TomMullikinForCongress', 'indices': [81, 104]}, {'text': 'SC05', 'indices': [105, 110]}, {'text': 'SC5', 'indices': [111, 115]}, {'text': 'scpol', 'indices': [116, 122]}, {'text': 'MAGA', 'indices': [123, 128]}]",[],http://twitter.com/download/android,None,None
841421989302697985,841421989302697985,dantheimprover,"Austin, TX","Just a guy trying to do good by telling everyone else to get better,",None,38,287,0,2017-03-13 22:53:29,3,False,63,en,True,,False,True,dantheimprover,0,[],[],http://twitter.com,None,None
2482834658,2482834658,_all_of_us_,in a machine.,bot by @rubicon,None,187,0,19,2014-05-07 22:29:25,0,False,6068,en,False,,False,False,everything always,0,[],[],http://www.rbknrbkn.com,None,None
3333573622,3333573622,KatamariItems,,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time.,None,9029,2,92,2015-06-18 22:07:31,26,False,2719,en,True,,False,False,Katamari Collection,0,[],[],https://twittimer.com,None,None
2996105102,2996105102,AutophagyPapers,,Twitterbot for #Autophagy papers. Curated by @SoniaHall,None,304,0,18,2015-01-25 17:34:58,23,False,10745,en,False,,False,False,Autophagy Papers,0,[],"[{'url': 'https://t.co/aZsWrRinO3', 'expanded_url': 'https://twitter.com/i/web/status/859353434322944000', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [115, 138]}]",https://dlvrit.com/,None,None
3271095818,3271095818,HSC_papers,,,None,65,3,9,2015-07-07 15:23:47,0,False,2686,en,True,,False,False,Hematopoiesis,0,[],"[{'url': 'https://t.co/E6o1aNhNMy', 'expanded_url': 'https://twitter.com/i/web/status/859375557439401984', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [97, 120]}]",https://dlvrit.com/,None,None
